institution,case_count
長庚醫療財團法人臺北長庚紀念醫院,6
長庚醫療財團法人高雄長庚紀念醫院,8
長庚醫療財團法人嘉義長庚紀念醫院,8
長庚醫療財團法人林口長庚紀念醫院,5
高雄市立大同醫院,8
國軍左營總醫院附設民眾診療服務處,1
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,1
高雄榮民總醫院,20
安泰醫療社團法人安泰醫院,3
義大醫療財團法人義大醫院,6
義大醫療財團法人義大癌治療醫院,5
義大醫療財團法人義大大昌醫院,5
博愛蕙馨醫院,7
樂生婦幼醫院,6
財團法人私立高雄醫學大學附設中和紀念醫院,6
新正薪醫院,5
小港安生婦產科診所,5
張榮州婦產科診所,4
阮綜合醫療社團法人阮綜合醫院,9
鈞安婦幼聯合醫院,15
容婦產科診所,31
柏仁醫院,3
衛生福利部臺南醫院,1
衛生福利部彰化醫院,2
佛教慈濟醫療財團法人花蓮慈濟醫院,8
國立臺灣大學醫學院附設醫院,28
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),12
新板婦產科診所,15
松仁婦產科診所,7
基督復臨安息日會醫療財團法人臺安醫院,10
國立成功大學醫學院附設醫院,3
臺灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,12
臺灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,16
臺灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,4
健仁醫院,1
新光醫療財團法人新光吳火獅紀念醫院,10
衛生福利部桃園醫院,4
國立臺灣大學醫學院附設醫院雲林分院,14
衛生福利部臺北醫院,11
光田醫療社團法人光田綜合醫院,30
國軍臺中總醫院附設民眾診療服務處,9
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,6
國立陽明交通大學附設醫院,4
臺北市立聯合醫院,8
國軍桃園總醫院附設民眾診療服務處,13
臺北市立萬芳醫院-委託臺北醫學大學辦理,27
林儀文婦產科診所,4
輔仁大學學校財團法人輔仁大學附設醫院,9
基隆生基婦產科診所,12
彰化基督教醫療財團法人彰化基督教醫院,8
天主教靈醫會醫療財團法人羅東聖母醫院,12
敏盛綜合醫院,9
秀傳醫療財團法人彰濱秀傳紀念醫院,13
衛生福利部屏東醫院,10
新北市立聯合醫院,2
行天宮醫療志業醫療財團法人恩主公醫院,14
衛生福利部雙和醫院(委託臺北醫學大學興建經營),33
佛教慈濟醫療財團法人大林慈濟醫院,11
林新醫療社團法人烏日林新醫院,4
潘如瑾婦產科診所,8
臺灣基督長老教會新樓醫療財團法人臺南新樓醫院,10
鍾婦產科診所,4
好孕診所,22
三軍總醫院附設民眾診療服務處,12
金郁婦產科診所,8
林新醫療社團法人林新醫院,4
遠祺婦產科診所,4
日康診所,8
愛群婦產科診所,27
衛生福利部南投醫院,6
臺北協育診所,9
黃彥華婦產科診所,8
茂盛板橋生殖診所,4
醫療財團法人辜公亮基金會和信治癌中心醫院,3
元程婦產科診所,8
張婦產科診所,2
天給婦產科診所,4
惠生保安婦幼診所,6
愛麗生婦產科診所,8
俊亨婦產科診所,5
天主教耕莘醫療財團法人永和耕莘醫院,3
臺中榮民總醫院,7
亞洲大學附屬醫院,14
衛生福利部苗栗醫院,6
佛教慈濟醫療財團法人臺中慈濟醫院,7
茂盛醫院,1
中國醫藥大學附設醫院,4
臺安醫院,12
衛生福利部豐原醫院,13
新惠生醫院,5
呂其嘉婦產科診所,5
黃迎凱婦產科診所,12
慈銘婦產科診所,22
喜月婦產科診所,3
新彗婦產科診所,4
家珊診所,5
媽媽咪亞診所,8
新亞東婦產科醫院,10
博生婦產科診所,12
許煥澤婦產科診所,3
正馨婦產科診所,6
童綜合醫療社團法人童綜合醫院,23
大新婦產科診所,20
澄清綜合醫院中港分院,10
臻嬡婦產科診所,2
劉忠俊婦產科診所,13
國泰醫療財團法人國泰綜合醫院,5
施英富婦產科診所,11
寶建醫療社團法人寶建醫院,14
奇美醫療財團法人奇美醫院,7
美村婦產科診所,15
醫療財團法人羅許基金會羅東博愛醫院,5
生生不息婦產科診所,4
江美麗婦產科診所,6
佑昇診所,13
王家瑋婦產科診所,14
屏基醫療財團法人屏東基督教醫院,17
張帆婦產科診所,13
臺北醫學大學附設醫院,20
為恭醫療財團法人為恭紀念醫院,9
三軍總醫院松山分院附設民眾診療服務處,3
忠孝世賓婦產科診所,25
枋寮醫療社團法人枋寮醫院,11
桃園宏其生基診所,12
生基婦產科診所,10
臺南市立安南醫院-委託中國醫藥大學興建經營,15
東元醫療社團法人艾微芙診所,13
東元醫療社團法人東元綜合醫院,12
中國醫藥大學新竹附設醫院,9
安安婦幼診所,10
臺南市立醫院(委託秀傳醫療社團法人經營),16
黃昭彰婦產科診所,7
佑生婦產科診所,5
葉能貴婦產科診所,6
吳峻賢婦產科診所,4
璟馨婦幼醫院,7
詠馨婦產科診所,6
方世錝婦產科診所,6
馬博榮婦產專科診所,4
郭綜合醫院,9
臺安診所,2
鄭婦產科診所,2
大安婦幼醫院,6
柯助伊婦產科診所,2
臺灣基督教門諾會醫療財團法人門諾醫院,14
馨寧好診所,9
婦兒安診所,8
金禾美診所,14
天祥醫院,4
天成醫療社團法人天晟醫院,4
李綜合醫療社團法人大甲李綜合醫院,20
國軍高雄總醫院附設民眾診療服務處,1
遠興婦產科診所,10
振興醫療財團法人振興醫院,2
臺北榮民總醫院桃園分院,3
華育婦產科診所,6
佛教慈濟醫療財團法人嘉義慈濟診所,1
葉家伶婦產科診所,5
李及時婦產家醫科診所,9
國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,2
國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,2
周大中婦產科診所,4
嘉安婦幼診所,6
雷世陽婦產科診所,11
采新婦幼診所,9
林慧雯婦產科診所,11
東興婦產科診所,2
孕醫診所,6
新北市立土城醫院(委託長庚醫療財團法人興建經營),2
天主教耕莘醫療財團法人耕莘醫院,5
輔英科技大學附設醫院,17
愛文婦產科診所,10
馨蕙馨醫院,3
錫安婦產科內科診所,4
樂寶兒婦幼診所,7
新莊惠欣婦產科小兒科診所,7
御生婦幼診所,4
健安婦產科診所,7
屏東榮民總醫院,2
彰化基督教醫療財團法人雲林基督教醫院,4
佑民醫療社團法人佑民醫院,8
江昌雲婦產科診所,2
吳博霖婦產科診所,2
李學智婦產科診所,1
涵恩婦產科診所,5
永佳婦產專科診所,3
長庚醫療財團法人桃園長庚紀念醫院,5
皓生醫院,3
惠心婦產科小兒科診所,3
許世賓婦產科診所,9
祈新婦產科診所,7
邱正義婦產科診所,3
好韻診所,5
中山醫學大學附設醫院,2
四季臺安醫院,5
迎杏福婦產科診所,8
林正宗婦產科診所,3
基生婦產科診所,9
宏偉婦幼診所,3
四季和悅婦產科診所,5
中山醫療社團法人中山醫院,4
王孫斌婦產科診所,4
王知行婦產科診所,3
金厚生診所,19
臺灣基督長老教會新樓醫療財團法人麻豆新樓醫院,5
聯新國際醫院,1
中心診所醫療財團法人中心綜合醫院,1
樂芙婦產科診所,3
安田婦產科診所,3
醫療財團法人病理發展基金會臺北病理中心,2
秀傳醫療社團法人秀傳紀念醫院,7
林嘉祈婦產科診所,3
維馨乳房外科醫院,1
澄清綜合醫院,1
天主教若瑟醫療財團法人若瑟醫院,1
臺北婦產科診所,7
中國醫藥大學北港附設醫院,1
連江縣立醫院,17
陳澤彥婦產科醫院,2
蔡永隆婦產科診所,2
何婦產科診所,2
臺灣基督長老教會馬偕醫療財團法人臺東馬偕紀念醫院,2
禾馨新生婦幼診所,25
小禾馨小兒專科診所,25
新竹市立馬偕兒童醫院(委託臺灣基督長老教會馬偕醫療財團法人興建經營),5
秀傳醫療社團法人高雄秀傳紀念醫院,28
快樂診所,3
柯滄銘婦產科診所,6
施以中診所,1
金安心醫院,1
四季和安婦幼診所,2
康乃心婦產科診所,2
欣幼婦產科診所,1
衛生福利部嘉義醫院,7
財團法人私立高雄醫學大學附設高醫岡山醫院,17
陳玲玲婦產科診所,17
楊克寧婦產科診所,4
辛英郎婦產科診所,2
三軍總醫院澎湖分院附設民眾診療服務處,3
恆基醫療財團法人恆春基督教醫院,1
吳睿斌婦產科診所,1
吳鳳昕婦產科診所,1
