case_id,institution,institution_key,laboratory,laboratory_key,test,city,category,application_year,years_since_application,status,status_label,inference
2022LDT0018,國立臺灣大學醫學院附設醫院,國立臺灣大學醫學院附設醫院,國立臺灣大學醫學院附設醫院基因醫學部,國立臺灣大學醫學院附設醫院基因醫學部,次世代定序全外顯子定序檢測-單基因遺傳疾病,臺北市,遺傳代謝與罕見疾病之基因檢測,2022,4,opportunity,機會・2022・第 4 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2022LDT0006,柯滄銘婦產科診所,柯滄銘婦產科診所,Invitae Corporation,invitaecorporation,愛唯美次世代定序基因檢測,臺北市,遺傳代謝與罕見疾病之基因檢測,2022,4,opportunity,機會・2022・第 4 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2022LDT0002,臺中榮民總醫院,臺中榮民總醫院,臺中榮民總醫院精準醫學實驗室,臺中榮民總醫院精準醫學實驗室,家族性高膽固醇血症基因檢測,臺中市,遺傳代謝與罕見疾病之基因檢測,2022,4,opportunity,機會・2022・第 4 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2022LDT0020,臺中榮民總醫院,臺中榮民總醫院,麗寶醫事檢驗所,麗寶醫事檢驗所,麗寶致心律失常性右心室心肌病變基因檢測,臺中市,遺傳代謝與罕見疾病之基因檢測,2022,4,opportunity,機會・2022・第 4 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2022LDT0016,衛生福利部桃園醫院,衛生福利部桃園醫院,Guardant Health Clinical Laboratory,guardanthealthclinicallaboratory,Guardant360 液態活體癌症基因檢測,桃園市,癌症篩檢、診斷、治療及預後之基因檢測,2022,4,opportunity,機會・2022・第 4 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2022LDT0027,許朝欽婦產科診所,許朝欽婦產科診所,創源分生實驗室,創源分生實驗室,NIPT非侵入性胎兒染色體檢測Q寶,臺南市,產前及新生兒染色體與基因變異檢測,2022,4,opportunity,機會・2022・第 4 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2022LDT0004,長庚醫療財團法人林口長庚紀念醫院,長庚醫療財團法人林口長庚紀念醫院,林口長庚紀念醫院檢驗醫學部,林口長庚紀念醫院檢驗醫學部,腎小管發育不良之AGT deletion檢測,桃園市,遺傳代謝與罕見疾病之基因檢測,2022,4,opportunity,機會・2022・第 4 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2022LDT0008,馨蕙馨醫院,馨蕙馨醫院,創源分生實驗室,創源分生實驗室,NIPT非侵入性胎兒染色體檢測Q寶,高雄市,產前及新生兒染色體與基因變異檢測,2022,4,opportunity,機會・2022・第 4 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2022LDT0007,馨蕙馨醫院,馨蕙馨醫院,創源分生實驗室,創源分生實驗室,SNP晶片染色體篩檢-750K,高雄市,產前及新生兒染色體與基因變異檢測,2022,4,opportunity,機會・2022・第 4 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDT0461,113/6/11,113/6/11,國立成功大學基因體醫學中心,國立成功大學基因體醫學中心,非侵入性產前染色體檢測-NIPT2.0,臺北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDT1732,中國醫藥大學新竹附設醫院,中國醫藥大學新竹附設醫院,中國醫藥大學新竹附設醫院檢驗科,中國醫藥大學新竹附設醫院檢驗科,AVENIO 197cancer panel(ctDNA),新竹縣,癌症篩檢、診斷、治療及預後之基因檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDT1735,中國醫藥大學新竹附設醫院,中國醫藥大學新竹附設醫院,中國醫藥大學新竹附設醫院檢驗科,中國醫藥大學新竹附設醫院檢驗科,AVENIO 24cancer panel(ctDNA),新竹縣,癌症篩檢、診斷、治療及預後之基因檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDT1734,中國醫藥大學新竹附設醫院,中國醫藥大學新竹附設醫院,中國醫藥大學新竹附設醫院檢驗科,中國醫藥大學新竹附設醫院檢驗科,AVENIO 55cancer panel(ctDNA),新竹縣,癌症篩檢、診斷、治療及預後之基因檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDT1733,中國醫藥大學新竹附設醫院,中國醫藥大學新竹附設醫院,中國醫藥大學新竹附設醫院檢驗科,中國醫藥大學新竹附設醫院檢驗科,AVENIO 77cancer panel(ctDNA),新竹縣,癌症篩檢、診斷、治療及預後之基因檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0038,中國醫藥大學附設醫院,中國醫藥大學附設醫院,基因醫學部細胞遺傳研究室,基因醫學部細胞遺傳研究室,其他染色體分析,臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0039,中國醫藥大學附設醫院,中國醫藥大學附設醫院,基因醫學部細胞遺傳研究室,基因醫學部細胞遺傳研究室,絨毛染色體分析(處理培養檢查與染色體判讀檢查),臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0035,中國醫藥大學附設醫院,中國醫藥大學附設醫院,基因醫學部細胞遺傳研究室,基因醫學部細胞遺傳研究室,羊水染色體分析,臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0036,中國醫藥大學附設醫院,中國醫藥大學附設醫院,基因醫學部細胞遺傳研究室,基因醫學部細胞遺傳研究室,血液染色體分析,臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDT1889,中山醫學大學附設醫院,中山醫學大學附設醫院,Genomic Health Inc Laboratory,genomichealthinclaboratory,Oncotype DX安可待乳癌腫瘤基因檢測(Oncotype DX Breast Recurrence Score),臺中市,癌症篩檢、診斷、治療及預後之基因檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDT1938,中山醫療社團法人中山醫院,中山醫療社團法人中山醫院,創源分生實驗室,創源分生實驗室,NIPT非侵入性胎兒染色體檢測Q寶PLUS三十八合一,臺北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDT0939,亞洲大學附屬醫院,亞洲大學附屬醫院,創源分生實驗室,創源分生實驗室,X染色體脆折症帶因篩檢,臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDT0940,亞洲大學附屬醫院,亞洲大學附屬醫院,創源分生實驗室,創源分生實驗室,脊髓性肌肉萎縮症帶因篩檢,臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
