institution,case_count
長庚醫療財團法人嘉義長庚紀念醫院,6
長庚醫療財團法人林口長庚紀念醫院,9
國軍左營總醫院附設民眾診療服務處,11
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,21
高雄榮民總醫院,46
安泰醫療社團法人安泰醫院,26
義大醫療財團法人義大醫院,9
義大醫療財團法人義大癌治療醫院,6
義大醫療財團法人義大大昌醫院,6
博愛蕙馨醫院,13
樂生婦幼醫院,12
財團法人私立高雄醫學大學附設中和紀念醫院,24
新正薪醫院,25
小港安生婦產科診所,10
張榮州婦產科診所,14
阮綜合醫療社團法人阮綜合醫院,17
鈞安婦幼聯合醫院,37
容婦產科診所,47
柏仁醫院,18
衛生福利部彰化醫院,13
佛教慈濟醫療財團法人花蓮慈濟醫院,10
國立臺灣大學醫學院附設醫院,37
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),17
新板婦產科診所,34
松仁婦產科診所,17
基督復臨安息日會醫療財團法人臺安醫院,16
國立成功大學醫學院附設醫院,35
臺灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,22
新光醫療財團法人新光吳火獅紀念醫院,19
國立臺灣大學醫學院附設醫院雲林分院,38
衛生福利部臺北醫院,24
光田醫療社團法人光田綜合醫院,45
國軍臺中總醫院附設民眾診療服務處,19
國立陽明交通大學附設醫院,16
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,16
臺北市立聯合醫院,19
衛生福利部桃園醫院,25
國軍桃園總醫院附設民眾診療服務處,21
臺北市立萬芳醫院-委託臺北醫學大學辦理,40
林儀文婦產科診所,16
輔仁大學學校財團法人輔仁大學附設醫院,22
基隆生基婦產科診所,28
彰化基督教醫療財團法人彰化基督教醫院,13
天主教靈醫會醫療財團法人羅東聖母醫院,19
秀傳醫療財團法人彰濱秀傳紀念醫院,28
衛生福利部屏東醫院,16
新北市立聯合醫院,4
行天宮醫療志業醫療財團法人恩主公醫院,28
佛教慈濟醫療財團法人大林慈濟醫院,18
林新醫療社團法人烏日林新醫院,18
潘如瑾婦產科診所,8
鍾婦產科診所,15
好孕診所,22
三軍總醫院附設民眾診療服務處,25
金郁婦產科診所,8
林新醫療社團法人林新醫院,16
遠祺婦產科診所,15
日康診所,14
愛群婦產科診所,44
衛生福利部南投醫院,11
臺北協育診所,9
黃彥華婦產科診所,15
茂盛板橋生殖診所,11
醫療財團法人辜公亮基金會和信治癌中心醫院,10
臺灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,37
臺灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,38
元程婦產科診所,9
張婦產科診所,5
天給婦產科診所,9
惠生保安婦幼診所,9
愛麗生婦產科診所,23
俊亨婦產科診所,18
天主教耕莘醫療財團法人永和耕莘醫院,13
佛教慈濟醫療財團法人臺中慈濟醫院,36
茂盛醫院,16
中國醫藥大學附設醫院,20
臺安醫院,14
衛生福利部豐原醫院,28
新惠生醫院,8
呂其嘉婦產科診所,7
黃迎凱婦產科診所,25
慈銘婦產科診所,31
喜月婦產科診所,3
新彗婦產科診所,6
家珊診所,9
媽媽咪亞診所,22
新亞東婦產科醫院,16
博生婦產科診所,29
許煥澤婦產科診所,16
正馨婦產科診所,17
童綜合醫療社團法人童綜合醫院,33
大新婦產科診所,50
澄清綜合醫院中港分院,21
臻嬡婦產科診所,11
劉忠俊婦產科診所,20
臺中榮民總醫院,24
國泰醫療財團法人國泰綜合醫院,32
施英富婦產科診所,23
寶建醫療社團法人寶建醫院,41
奇美醫療財團法人奇美醫院,51
美村婦產科診所,28
醫療財團法人羅許基金會羅東博愛醫院,10
生生不息婦產科診所,9
江美麗婦產科診所,6
臺灣基督長老教會新樓醫療財團法人臺南新樓醫院,15
佑昇診所,15
王家瑋婦產科診所,28
屏基醫療財團法人屏東基督教醫院,33
衛生福利部雙和醫院(委託臺北醫學大學興建經營),41
張帆婦產科診所,30
臺北醫學大學附設醫院,59
為恭醫療財團法人為恭紀念醫院,7
三軍總醫院松山分院附設民眾診療服務處,11
忠孝世賓婦產科診所,36
枋寮醫療社團法人枋寮醫院,9
桃園宏其生基診所,30
生基婦產科診所,23
臺南市立安南醫院-委託中國醫藥大學興建經營,24
東元醫療社團法人艾微芙診所,34
東元醫療社團法人東元綜合醫院,47
中國醫藥大學新竹附設醫院,16
安安婦幼診所,15
臺南市立醫院(委託秀傳醫療社團法人經營),50
黃昭彰婦產科診所,21
佑生婦產科診所,21
葉能貴婦產科診所,6
吳峻賢婦產科診所,19
璟馨婦幼醫院,21
詠馨婦產科診所,13
方世錝婦產科診所,26
馬博榮婦產專科診所,22
郭綜合醫院,33
臺安診所,11
鄭婦產科診所,2
大安婦幼醫院,43
柯助伊婦產科診所,14
臺灣基督教門諾會醫療財團法人門諾醫院,17
馨寧好診所,9
婦兒安診所,20
金禾美診所,37
天祥醫院,4
天成醫療社團法人天晟醫院,4
李綜合醫療社團法人大甲李綜合醫院,20
國軍高雄總醫院附設民眾診療服務處,13
遠興婦產科診所,14
振興醫療財團法人振興醫院,16
華育婦產科診所,28
佛教慈濟醫療財團法人嘉義慈濟診所,4
葉家伶婦產科診所,12
李及時婦產家醫科診所,9
周大中婦產科診所,9
嘉安婦幼診所,18
雷世陽婦產科診所,15
采新婦幼診所,9
林慧雯婦產科診所,15
東興婦產科診所,13
孕醫診所,14
高雄市立大同醫院,3
新北市立土城醫院(委託長庚醫療財團法人興建經營),2
天主教耕莘醫療財團法人耕莘醫院,35
輔英科技大學附設醫院,21
愛文婦產科診所,16
馨蕙馨醫院,11
錫安婦產科內科診所,4
樂寶兒婦幼診所,17
新莊惠欣婦產科小兒科診所,15
御生婦幼診所,13
健安婦產科診所,11
屏東榮民總醫院,41
彰化基督教醫療財團法人雲林基督教醫院,5
佑民醫療社團法人佑民醫院,15
江昌雲婦產科診所,8
吳博霖婦產科診所,13
李學智婦產科診所,3
涵恩婦產科診所,12
永佳婦產專科診所,14
長庚醫療財團法人桃園長庚紀念醫院,4
皓生醫院,15
