case_id,institution,laboratory,test,city,category,application_year,years_since_application,status,status_label,inference
2023LDTB0038,中國醫藥大學附設醫院,基因醫學部細胞遺傳研究室,其他染色體分析,臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0039,中國醫藥大學附設醫院,基因醫學部細胞遺傳研究室,絨毛染色體分析(處理培養檢查與染色體判讀檢查),臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0035,中國醫藥大學附設醫院,基因醫學部細胞遺傳研究室,羊水染色體分析,臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0036,中國醫藥大學附設醫院,基因醫學部細胞遺傳研究室,血液染色體分析,臺中市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0443,佑民醫療社團法人佑民醫院,創源分生實驗室,X染色體脆折症帶因篩檢,南投縣,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0445,佑民醫療社團法人佑民醫院,創源分生實驗室,唐氏症次世代定序篩檢,南投縣,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0444,佑民醫療社團法人佑民醫院,創源分生實驗室,脊髓性肌肉萎縮症帶因篩檢,南投縣,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0291,佑生婦產科診所,華聯中心實驗室,CytoOneArray染色體晶片分析,臺南市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0121,佩佩婦幼診所,特殊生化組實驗室,X染色體脆折症帶原檢查,臺北市,遺傳代謝與罕見疾病之基因檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0120,佩佩婦幼診所,特殊生化組實驗室,脊髓性肌肉萎縮症帶原檢查,臺北市,遺傳代謝與罕見疾病之基因檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0317,俊亨婦產科診所,創源分生實驗室,NIPT非侵入性胎兒染色體檢測Q寶,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0318,俊亨婦產科診所,創源分生實驗室,NIPT非侵入性胎兒染色體檢測Q寶PLUS十四合一,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0319,俊亨婦產科診所,創源分生實驗室,SNP晶片染色體篩檢-750K,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0315,俊亨婦產科診所,創源分生實驗室,X染色體脆折症帶因篩檢,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0316,俊亨婦產科診所,創源分生實驗室,脊髓性肌肉萎縮症帶因篩檢,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0689,優生醫療社團法人優生醫院,華聯中心實驗室,CytoOneArray染色體晶片分析,屏東縣,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0107,優生醫療社團法人優生醫院,創源分生實驗室,NIPT非侵入性胎兒染色體檢測Q寶PLUS十四合一,屏東縣,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0106,優生醫療社團法人優生醫院,創源分生實驗室,唐氏症次世代定序篩檢,屏東縣,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0067,元程婦產科診所,創源分生實驗室,NIPT非侵入性胎兒染色體檢測Q寶,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0068,元程婦產科診所,創源分生實驗室,NIPT非侵入性胎兒染色體檢測Q寶PLUS十四合一,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0064,元程婦產科診所,創源分生實驗室,X染色體脆折症帶因篩檢,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0066,元程婦產科診所,創源分生實驗室,唐氏症次世代定序篩檢,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
2023LDTB0065,元程婦產科診所,創源分生實驗室,脊髓性肌肉萎縮症帶因篩檢,新北市,產前及新生兒染色體與基因變異檢測,2023,3,opportunity,機會・2023・第 3 年,目前資料未見較新相同機構／實驗室／檢測案件；待確認
